,Word
766,सहित (sahit)
767,योग (yog)
768,मुख (mukh)
769,बिहार (bihār)
770,काव्य (kāvya)
771,सिद्धांत (siddhānt)
772,सार्वजनिक (sārvajnik)
773,लघु (laghu)
774,बता (batā)
775,परस्पर (paraspar)
776,तार (tār)
777,चूर्ण (cūrṇ)
778,आयोजन (āyojan)
779,सांस्कृतिक (sānskŕtik)
780,समझने (samajhne)
781,वाद्य (vādya)
782,प्रतीक (pratīk)
783,तुम्हारा (tumhārā)
784,छात्र (chātra)
785,चुप (cup)
786,अक्सर (aksar)
787,जायेगी (jāyegī)
788,रखे (rakhe)
789,भार (bhār)
790,फलों (phalõ)
791,जीवित (jīvit)
792,आजकल (ājkal)
793,विस्तृत (vistŕt)
794,गिर (gir)
795,गुरू (gurū)
796,खाद्य (khādya)
797,उतर (utar)
798,अमेरिका (amerikā)
799,सुना (sunā)
800,स्थानीय (sthānīya)
801,विषयों (viṣyõ)
802,घंटे (ghaṇṭe)
803,कराने (karāne)
804,उतना (utnā)
805,शताब्दी (śatābdī)
806,व्यवसाय (vyavsāy)
807,मंदिर (mandir)
808,परिचय (paricay)
809,गांवों (gāmvõ)
810,बाँध (bāndh)
811,निश्चय (niścay)
812,उपकरण (upakraṇ)
813,आतंकवादियों (ātaṅkvādiyõ)
814,वैदिक (vaidik)
815,भागों (bhāgõ)
816,अंश (anś)
817,सूत्र (sūtra)
818,विविध (vividh)
819,बारह (bārah)
820,फलस्वरूप (phalasvarūp)
821,काट (kāṭ)
822,अधिकतर (adhiktar)
823,स्वाभाविक (svābhāvik)
824,वाक्य (vākya)
825,बैठी (baiṭhī)
826,परिस्थितियों (paristhitiyõ)
827,सूर्य (sūrya)
828,शत्रु (śatru)
829,पत्तियों (pattiyõ)
830,नियोजन (niyojan)
831,ग्रन्थ (granth)
832,कही (kahī)
833,उम्र (umra)
834,अग्नि (agni)
835,सिख (sikh)
836,बाप (bāp)
837,पाकिस्तान (pākistān)
838,पश्चात् (paścāt)
839,चिन्ता (cintā)
840,आयोजित (āyojit)
841,यहीं (yahī̃)
842,वाद्यों (vādyõ)
843,मुसलमान (musalmān)
844,भेज (bhej)
845,बैंक (baiṅk)
846,नारी (nārī)
847,अंतिम (antim)
848,समुद्र (samudra)
849,संग्रह (saṅgrah)
850,लेती (letī)
851,दृश्य (dŕśya)
852,खाद (khād)
853,आलोचना (ālocnā)
854,हैक्टर (haikṭar)
855,विरोधी (virodhī)
856,पश्चिमी (paścimī)
857,धान (dhān)
858,डाक (ḍāk)
859,कदम (kadam)
860,आकाश (ākāś)
861,स्थायी (sthāyī)
862,वितरण (vitraṇ)
863,वंश (vanś)
864,रोक (rok)
865,प्रेरणा (prerṇā)
866,चीनी (cīnī)
867,औरत (aurat)
868,अप्रैल (aprail)
869,अनिवार्य (anivārya)
870,सकें (sakẽ)
871,महिला (mahilā)
872,पहचान (pahcān)
873,क्रमशः (kramśaḥ)
874,सैनिक (sainik)
875,वजह (vajah)
876,लकड़ी (lakṛī)
877,रुपये (rupye)
878,बढ़ा (baṛhā)
879,पीठ (pīṭh)
880,पाई (pāī)
881,डाक्टर (ḍākṭar)
882,सम्पर्क (sampark)
883,वीं (vī̃)
884,माननीय (mānnīya)
885,मूल्यांकन (mūlyāṅkan)
886,गाय (gāy)
887,क्षण (kṣaṇ)
888,हालत (hālat)
889,संदर्भ (sandarbh)
890,बीस (bīs)
891,दोष (doṣ)
892,जीव (jīv)
893,चित्रित (citrit)
894,खान (khān)
895,खुशी (khuśī)
896,रोजगार (rojgār)
897,रिपोर्ट (riporṭ)
898,मंत्रालय (mantrālay)
899,प्राथमिक (prāthmik)
900,प्रदर्शित (pradarśit)
901,धारणा (dhārṇā)
902,ताल (tāl)
903,जंगल (jaṅgal)
904,सका (sakā)
905,यान (yān)
906,उपक्रम (upakram)
907,अंकित (aṅkit)
908,शिव (śiv)
909,त्याग (tyāg)
910,जिसने (jisne)
911,गरम (garam)
912,समाचार (samācār)
913,शाखा (śākhā)
914,बुरी (burī)
915,डाला (ḍālā)
916,जून (jūn)
917,ज्ञात (gyāt)
918,गर्भ (garbh)
919,कर्मचारियों (karmacāriyõ)
920,मामलों (māmlõ)
921,बजाय (bajāy)
922,तरीके (tarīke)
923,आदर्श (ādarś)
924,हिस्सा (hissā)
925,संरचना (sãracnā)
926,स्पर्श (sparś)
927,जनवरी (janavrī)
928,चित्रकला (citraklā)
929,चरित्र (caritra)
930,क्षेत्रीय (kṣetrīya)
931,क्यू (kyū)
932,रखता (rakhtā)
933,बिक्री (bikrī)
934,पुस्तकों (pustakõ)
935,निर्मित (nirmit)
936,जैन (jain)
937,गले (gale)
938,ग्रा (grā)
939,खराब (kharāb)
940,करो (karo)
941,कक्षा (kakṣā)
942,आश्चर्य (āścarya)
943,रास्ता (rāstā)
944,युक्त (yukt)
945,बनाए (banāe)
946,बेटा (beṭā)
947,बेटे (beṭe)
948,प्रबन्ध (prabandh)
949,निम्नलिखित (nimnalikhit)
950,चेहरा (cehrā)
951,अर्जुन (arjun)
952,सम्मान (sammān)
953,यथार्थ (yathārth)
954,बहू (bahū)
955,ध्वनियों (dhvaniyõ)
956,जिन्होंने (jinhonne)
957,छाया (chāyā)
958,खबर (khabar)
959,संकट (saṅkaṭ)
960,बेटी (beṭī)
961,पशुओं (paśuõ)
962,अति (ati)
963,समझता (samajhtā)
964,रोकने (rokne)
965,भक्ति (bhakti)
966,दशा (daśā)
967,चलती (caltī)
968,घास (ghās)
969,कथन (kathan)
970,सामान (sāmān)
971,मजदूरी (majdūrī)
972,भरी (bharī)
973,बिलकुल (bilkul)
974,दूसरों (dūsrõ)
975,गरीब (garīb)
976,अस्तित्व (astitva)
977,अकेले (akele)
978,सौन्दर्य (saundarya)
979,साहसी (sāhsī)
980,समझते (samajhte)
981,विद्युत (vidyut)
982,लिखी (likhī)
983,नाटक (nāṭak)
984,धूप (dhūp)
985,दरवाजे (darvāje)
986,कमजोर (kamjor)
987,आदत (ādat)
988,सम्प्रदाय (sampradāy)
989,शोध (śodh)
990,वीर (vīr)
991,रुपया (rupyā)
992,मौत (maut)
993,भले (bhale)
994,प्रसन्न (prasanna)
995,निजी (nijī)
996,जातियों (jātiyõ)
997,गीतों (gītõ)
998,कीट (kīṭ)
999,उतनी (utnī)
1000,अभ्यास (abhyās)
1001,रंगों (raṅgõ)
1002,मान्यता (mānyatā)
1003,मजबूत (majbūt)
1004,भीड़ (bhīṛ)
1005,नियमों (niymõ)
